SP-[1] Epoch: 118/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 86.61% | Val: Loss nan  Acc(top1) 56.52% | HA 0.00@0

SP-[1] Epoch: 119/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 86.72% | Val: Loss nan  Acc(top1) 60.14% | HA 0.00@0

SP-[1] Epoch: 120/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.10  Acc 85.94% | Val: Loss nan  Acc(top1) 60.63% | HA 0.00@0

SP-[1] Epoch: 121/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 85.83% | Val: Loss nan  Acc(top1) 65.70% | HA 0.00@0

SP-[1] Epoch: 122/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 85.60% | Val: Loss nan  Acc(top1) 58.70% | HA 0.00@0

SP-[1] Epoch: 123/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 86.27% | Val: Loss -0.27  Acc(top1) 58.70% | HA 0.00@0

SP-[1] Epoch: 124/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.10  Acc 86.38% | Val: Loss nan  Acc(top1) 59.18% | HA 0.00@0

SP-[1] Epoch: 125/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 86.27% | Val: Loss nan  Acc(top1) 52.42% | HA 0.00@0

SP-[1] Epoch: 126/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.09  Acc 87.28% | Val: Loss nan  Acc(top1) 62.56% | HA 0.00@0

SP-[1] Epoch: 127/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 85.27% | Val: Loss nan  Acc(top1) 55.07% | HA 0.00@0

SP-[1] Epoch: 128/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 87.72% | Val: Loss nan  Acc(top1) 63.53% | HA 0.00@0

SP-[1] Epoch: 129/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 85.94% | Val: Loss nan  Acc(top1) 55.80% | HA 0.00@0

SP-[1] Epoch: 130/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 88.73% | Val: Loss nan  Acc(top1) 63.77% | HA 0.00@0

SP-[1] Epoch: 131/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 85.04% | Val: Loss nan  Acc(top1) 59.42% | HA 0.00@0

SP-[1] Epoch: 132/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 86.61% | Val: Loss -0.33  Acc(top1) 53.62% | HA 0.00@0

SP-[1] Epoch: 133/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 85.38% | Val: Loss nan  Acc(top1) 61.35% | HA 0.00@0

